,Gemeentecode,Bevolking,Oppervlakte,Land,Water,Gemeentenaam,Provincienaam,geometry,Bevolkingsdichtheid,Stations,Stationsdichtheid,Bevolking_fmt
0,GM1680,25845.0,278.87,276.06,2.81,Aa en Hunze,Drenthe,"POLYGON ((6.814 53.071, 6.861 53.041, 6.936 52.993, 6.839 52.978, 6.789 52.963, 6.728 52.955, 6.725 52.937, 6.736 52.879, 6.715 52.868, 6.686 52.875, 6.675 52.905, 6.667 52.909, 6.586 52.919, 6.562 52.947, 6.581 52.967, 6.596 52.973, 6.616 53.008, 6.631 53.026, 6.649 53.026, 6.643 53.047, 6.672 53.065, 6.699 53.065, 6.748 53.081, 6.777 53.095, 6.814 53.071))",4.529126714217913,0,0.0,25.845
1,GM0358,33279.0,32.29,20.1,12.19,Aalsmeer,Noord-Holland,"POLYGON ((4.724 52.217, 4.724 52.232, 4.704 52.234, 4.686 52.227, 4.67 52.231, 4.702 52.244, 4.726 52.263, 4.765 52.277, 4.81 52.306, 4.824 52.29, 4.795 52.261, 4.771 52.25, 4.773 52.241, 4.724 52.217))",6.937924261636586,0,0.0,33.279
2,GM0197,27308.0,97.05,96.53,0.52,Aalten,Gelderland,"POLYGON ((6.639 51.963, 6.629 51.95, 6.634 51.935, 6.659 51.929, 6.669 51.914, 6.638 51.904, 6.586 51.894, 6.556 51.882, 6.501 51.868, 6.464 51.855, 6.484 51.879, 6.472 51.907, 6.489 51.913, 6.505 51.946, 6.517 51.948, 6.527 51.966, 6.559 51.974, 6.629 51.967, 6.639 51.963))",5.639708668923151,1,0.010359473738734071,27.308
3,GM0059,28226.0,103.98,102.21,1.77,Achtkarspelen,Fryslân,"POLYGON ((6.232 53.257, 6.218 53.242, 6.23 53.218, 6.2 53.195, 6.177 53.16, 6.148 53.158, 6.122 53.145, 6.105 53.152, 6.115 53.176, 6.085 53.194, 6.086 53.215, 6.027 53.23, 6.02 53.241, 6.044 53.244, 6.141 53.264, 6.178 53.26, 6.195 53.27, 6.232 53.257))",5.603800245018382,1,0.009783778495254868,28.226
4,GM0482,20314.0,10.06,8.77,1.29,Alblasserdam,Zuid-Holland,"POLYGON ((4.683 51.848, 4.673 51.839, 4.635 51.87, 4.626 51.881, 4.664 51.875, 4.7 51.88, 4.681 51.859, 4.683 51.848))",7.610498417827853,0,0.0,20.314
5,GM0613,26428.0,23.76,21.67,2.09,Albrandswaard,Zuid-Holland,"POLYGON ((4.48 51.862, 4.49 51.851, 4.489 51.835, 4.45 51.832, 4.432 51.837, 4.414 51.843, 4.384 51.842, 4.386 51.866, 4.418 51.872, 4.465 51.862, 4.48 51.862))",7.014175838655332,0,0.0,26.428
6,GM0361,112304.0,117.35,110.31,7.03,Alkmaar,Noord-Holland,"POLYGON ((4.873 52.634, 4.888 52.627, 4.884 52.613, 4.922 52.611, 4.927 52.607, 4.915 52.609, 4.891 52.595, 4.869 52.576, 4.859 52.559, 4.834 52.539, 4.79 52.519, 4.782 52.52, 4.778 52.534, 4.782 52.557, 4.745 52.568, 4.752 52.592, 4.737 52.594, 4.739 52.614, 4.715 52.625, 4.71 52.642, 4.752 52.671, 4.742 52.681, 4.779 52.676, 4.774 52.648, 4.808 52.634, 4.83 52.633, 4.839 52.646, 4.873 52.634))",6.863803836673171,2,0.018130722509291996,112.304
7,GM0141,74317.0,69.41,67.18,2.23,Almelo,Overijssel,"POLYGON ((6.699 52.394, 6.713 52.374, 6.721 52.341, 6.691 52.308, 6.658 52.295, 6.626 52.29, 6.632 52.302, 6.605 52.312, 6.619 52.326, 6.605 52.345, 6.615 52.363, 6.599 52.384, 6.652 52.399, 6.699 52.394))",6.976064057336569,2,0.02977076510866329,74.317
8,GM0034,226500.0,248.77,129.18,119.59,Almere,Flevoland,"POLYGON ((5.351 52.4, 5.301 52.382, 5.379 52.314, 5.354 52.309, 5.334 52.314, 5.317 52.304, 5.314 52.303, 5.313 52.303, 5.285 52.317, 5.221 52.334, 5.184 52.335, 5.139 52.325, 5.138 52.326, 5.129 52.383, 5.162 52.4, 5.258 52.435, 5.276 52.423, 5.351 52.4))",6.813971449088542,6,0.046446818392940084,226.500
9,GM0484,114966.0,132.5,125.93,6.57,Alphen aan den Rijn,Zuid-Holland,"POLYGON ((4.739 52.107, 4.709 52.094, 4.716 52.081, 4.677 52.066, 4.66 52.064, 4.637 52.074, 4.607 52.077, 4.607 52.066, 4.565 52.059, 4.557 52.061, 4.531 52.081, 4.537 52.084, 4.535 52.12, 4.551 52.138, 4.571 52.153, 4.681 52.168, 4.706 52.152, 4.742 52.163, 4.759 52.135, 4.739 52.107))",6.765809066031477,2,0.015881839116969745,114.966
